epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.453,2.0626,9.5263,2.8681,0.78096,0.33512,0.26863,0.08457,2.00003,1.90634,1.17461,0.000475421,0.000475421,0.000475421
2,299.133,1.10265,2.0336,1.33052,0.91205,0.43018,0.46865,0.26974,1.42185,0.88543,0.99684,0.000942332,0.000942332,0.000942332
3,454.779,0.89927,1.48149,1.15945,0.9535,0.46171,0.48615,0.33552,1.17155,0.48497,0.9285,0.00139981,0.00139981,0.00139981
4,604.411,0.82209,1.29234,1.07972,0.97333,0.47523,0.49386,0.36672,0.95676,0.40745,0.90945,0.00138656,0.00138656,0.00138656
5,747.074,0.75378,1.16807,1.03423,0.96074,0.46396,0.5153,0.36066,1.11064,0.40454,0.92317,0.00137241,0.00137241,0.00137241
6,889.763,0.69459,1.10653,1.00694,0.98666,0.47297,0.50728,0.3533,1.15063,0.40932,0.91914,0.00135826,0.00135826,0.00135826
7,1072.09,0.6686,1.05016,0.99576,0.98214,0.48423,0.71632,0.51702,1.07956,0.33697,0.90513,0.00134412,0.00134412,0.00134412
8,1213.94,0.62625,1.03634,0.97536,0.97885,0.48874,0.51802,0.36866,1.08725,0.35498,0.90092,0.00132997,0.00132997,0.00132997
9,1353.5,0.61778,1.01019,0.97304,0.98403,0.47779,0.66468,0.42686,1.02003,0.32867,0.89571,0.00131582,0.00131582,0.00131582
10,1492.38,0.6041,0.97454,0.96062,0.96792,0.49276,0.51476,0.38773,0.95358,0.3187,0.89211,0.00130168,0.00130168,0.00130168
11,1631.74,0.58226,0.92719,0.94765,0.99087,0.48444,0.53354,0.38209,0.96527,0.33391,0.88433,0.00128753,0.00128753,0.00128753
12,1771.18,0.57744,0.90647,0.9492,0.93989,0.49324,0.83533,0.47965,1.10356,0.33331,0.90111,0.00127338,0.00127338,0.00127338
13,1910.4,0.55218,0.87157,0.93858,0.98251,0.49718,0.53694,0.40996,0.86014,0.26911,0.87636,0.00125923,0.00125923,0.00125923
14,2049.36,0.52283,0.82963,0.93048,0.9841,0.48015,0.66305,0.46127,0.91945,0.30025,0.88462,0.00124509,0.00124509,0.00124509
15,2188.39,0.5403,0.81355,0.93214,0.90133,0.82658,0.84104,0.53808,0.83957,0.25354,0.8685,0.00123094,0.00123094,0.00123094
16,2327.86,0.51596,0.78233,0.91748,0.44816,0.49324,0.56574,0.43931,0.7862,0.26206,0.86354,0.00121679,0.00121679,0.00121679
17,2466.79,0.52444,0.76112,0.92242,0.75264,0.99324,0.8662,0.58686,0.78774,0.23217,0.86444,0.00120265,0.00120265,0.00120265
18,2605.94,0.5031,0.76734,0.91785,0.66729,0.66441,0.63814,0.46801,0.82836,0.25464,0.86493,0.0011885,0.0011885,0.0011885
19,2744.61,0.48279,0.73216,0.91489,0.72719,0.82658,0.77208,0.57078,0.77618,0.24283,0.86172,0.00117435,0.00117435,0.00117435
20,2883.88,0.48022,0.68279,0.90952,0.88474,0.83108,0.84969,0.5563,0.9127,0.27684,0.86718,0.00116021,0.00116021,0.00116021
21,3046.49,0.48845,0.66384,0.91183,0.68889,0.82883,0.85524,0.59817,0.87407,0.27173,0.87235,0.00114606,0.00114606,0.00114606
22,3409.23,0.47261,0.68037,0.91143,0.7235,0.66441,0.80477,0.54409,0.80125,0.2584,0.86199,0.00113191,0.00113191,0.00113191
23,3575.33,0.46625,0.63281,0.90471,0.91293,0.82883,0.92796,0.60787,0.75263,0.21863,0.85362,0.00111776,0.00111776,0.00111776
24,3722.88,0.47286,0.68189,0.91249,0.98343,0.77295,0.84885,0.61835,0.74514,0.21266,0.85184,0.00110362,0.00110362,0.00110362
25,3870.77,0.45783,0.57539,0.90289,0.98676,0.9608,0.99327,0.64102,0.76727,0.21179,0.85471,0.00108947,0.00108947,0.00108947
26,4018.45,0.46882,0.57912,0.91187,0.96135,0.82659,0.8547,0.56996,0.71622,0.22141,0.85306,0.00107532,0.00107532,0.00107532
27,4166.39,0.45398,0.57472,0.90141,0.98419,0.7989,0.85234,0.57855,0.87785,0.26455,0.86329,0.00106118,0.00106118,0.00106118
28,4314.43,0.44906,0.5531,0.89487,0.76515,0.98814,0.91047,0.63432,0.75237,0.24159,0.85482,0.00104703,0.00104703,0.00104703
29,4482.95,0.43424,0.53627,0.90201,0.77828,0.97121,0.81609,0.57289,0.71824,0.20407,0.84835,0.00103288,0.00103288,0.00103288
30,4652.04,0.44704,0.52476,0.89257,0.70418,0.66441,0.62074,0.47676,0.74509,0.22522,0.84992,0.00101873,0.00101873,0.00101873
31,4821.97,0.43684,0.5176,0.89211,0.80865,0.82432,0.78772,0.53239,0.75503,0.23044,0.85309,0.00100459,0.00100459,0.00100459
32,4981.6,0.42648,0.52401,0.89313,0.80138,0.81081,0.79235,0.57015,0.76722,0.23895,0.85249,0.00099044,0.00099044,0.00099044
33,5160.77,0.42113,0.51145,0.89265,0.81584,0.82432,0.77901,0.55474,0.7233,0.21273,0.84908,0.000976293,0.000976293,0.000976293
34,5304.97,0.42221,0.5085,0.88943,0.82587,0.66216,0.80791,0.59684,0.71762,0.22098,0.84784,0.000962146,0.000962146,0.000962146
35,5448.69,0.42694,0.47455,0.88915,0.67915,0.83108,0.81617,0.60324,0.67318,0.21007,0.84501,0.000947999,0.000947999,0.000947999
36,5592.6,0.41766,0.47327,0.88786,0.81006,0.82994,0.91107,0.60043,0.75451,0.20727,0.84928,0.000933851,0.000933851,0.000933851
37,5736.25,0.40785,0.47929,0.89095,0.8002,0.82761,0.87306,0.58673,0.70111,0.20529,0.84643,0.000919704,0.000919704,0.000919704
38,5879.19,0.40729,0.44911,0.88501,0.72712,0.83108,0.82896,0.55251,0.74011,0.21143,0.84729,0.000905557,0.000905557,0.000905557
39,6022.69,0.41682,0.45947,0.88941,0.92946,0.6423,0.73889,0.52567,0.72168,0.20877,0.84692,0.00089141,0.00089141,0.00089141
40,6166.04,0.41545,0.45371,0.88758,0.72572,0.82883,0.84471,0.56509,0.70386,0.20111,0.84475,0.000877263,0.000877263,0.000877263
41,6309.43,0.38934,0.41316,0.88688,0.82579,0.82755,0.84461,0.57418,0.70438,0.19928,0.84521,0.000863116,0.000863116,0.000863116
42,6453.58,0.40673,0.42256,0.8842,0.99501,0.81394,0.88387,0.60561,0.73117,0.20283,0.84744,0.000848969,0.000848969,0.000848969
43,6597.43,0.39287,0.41303,0.87925,0.899,0.65766,0.69282,0.53312,0.70731,0.22353,0.84166,0.000834822,0.000834822,0.000834822
44,6741.19,0.37744,0.39524,0.87957,0.67943,0.82883,0.78091,0.56123,0.68151,0.22606,0.84397,0.000820675,0.000820675,0.000820675
45,6883.86,0.37143,0.39554,0.87956,0.729,0.82883,0.83484,0.60656,0.69146,0.21276,0.84403,0.000806528,0.000806528,0.000806528
46,7025.41,0.37994,0.3941,0.88621,0.81114,0.82883,0.77255,0.56278,0.70534,0.21869,0.84443,0.00079238,0.00079238,0.00079238
47,7167.7,0.39069,0.3894,0.87783,0.75869,0.99775,0.87264,0.59015,0.68078,0.1948,0.84373,0.000778233,0.000778233,0.000778233
48,7310.07,0.38205,0.38188,0.87575,0.94899,0.62818,0.74993,0.54179,0.70087,0.21233,0.84694,0.000764086,0.000764086,0.000764086
49,7452.55,0.36257,0.40719,0.8788,0.9888,0.82207,0.92752,0.62133,0.68455,0.20201,0.84393,0.000749939,0.000749939,0.000749939
50,7595.09,0.36882,0.35617,0.87635,0.9946,0.98652,0.99403,0.64774,0.69375,0.18747,0.8406,0.000735792,0.000735792,0.000735792
51,7738.36,0.37383,0.3552,0.87965,0.96953,0.82896,0.95285,0.60545,0.66562,0.18127,0.84102,0.000721645,0.000721645,0.000721645
52,7881.41,0.36046,0.33566,0.87181,0.98209,0.83108,0.95278,0.6428,0.70031,0.19068,0.84465,0.000707498,0.000707498,0.000707498
53,8024.65,0.37185,0.35071,0.87617,0.93411,0.82171,0.88962,0.6265,0.67286,0.19863,0.84127,0.000693351,0.000693351,0.000693351
54,8166.58,0.36757,0.34476,0.87786,0.98722,0.82296,0.8903,0.65054,0.67477,0.19493,0.8421,0.000679204,0.000679204,0.000679204
55,8309.25,0.35607,0.33815,0.87741,0.97227,0.82658,0.86073,0.60212,0.66141,0.20285,0.84066,0.000665057,0.000665057,0.000665057
56,8450.78,0.36781,0.34269,0.87597,0.97523,0.8257,0.91074,0.64246,0.66898,0.1872,0.83992,0.000650909,0.000650909,0.000650909
57,8592.22,0.35025,0.32154,0.87263,0.82326,0.99324,0.91104,0.60282,0.6579,0.19351,0.83952,0.000636762,0.000636762,0.000636762
58,8733.8,0.36326,0.31164,0.87231,0.98463,0.802,0.92741,0.65183,0.63765,0.19429,0.83785,0.000622615,0.000622615,0.000622615
59,8875.67,0.35377,0.34178,0.87772,0.99538,0.78595,0.91082,0.60105,0.67294,0.19653,0.83847,0.000608468,0.000608468,0.000608468
60,9017.06,0.34426,0.32241,0.87171,0.99211,0.82672,0.89947,0.61068,0.66028,0.18285,0.83808,0.000594321,0.000594321,0.000594321
61,9158.2,0.33979,0.29649,0.86855,0.96877,0.82883,0.91125,0.64318,0.65339,0.18639,0.83755,0.000580174,0.000580174,0.000580174
62,9299.68,0.34433,0.32298,0.87451,0.99557,0.82883,0.92791,0.64342,0.6448,0.18136,0.837,0.000566027,0.000566027,0.000566027
63,9441.26,0.34266,0.31427,0.87381,0.7274,0.99099,0.87281,0.6497,0.64907,0.18396,0.83901,0.00055188,0.00055188,0.00055188
64,9582.96,0.3354,0.29994,0.87449,0.86264,0.9955,0.99355,0.65138,0.6564,0.18121,0.83673,0.000537733,0.000537733,0.000537733
65,9724.12,0.33087,0.30404,0.86906,0.98212,0.82797,0.91119,0.64447,0.65876,0.18292,0.83738,0.000523586,0.000523586,0.000523586
66,9864.81,0.34616,0.28558,0.8675,0.98301,0.81269,0.92783,0.66122,0.64663,0.18882,0.83708,0.000509438,0.000509438,0.000509438
67,10005.6,0.32709,0.28402,0.86716,0.99284,0.82883,0.9528,0.66017,0.64594,0.17988,0.83497,0.000495291,0.000495291,0.000495291
68,10146.6,0.33724,0.2846,0.8657,0.83913,0.9955,0.95256,0.68467,0.6513,0.18265,0.83825,0.000481144,0.000481144,0.000481144
69,10287.4,0.32445,0.27656,0.86656,0.8613,0.9595,0.95261,0.65127,0.63741,0.17398,0.8365,0.000466997,0.000466997,0.000466997
70,10428.1,0.33724,0.28885,0.86498,0.83472,0.99775,0.95257,0.68947,0.62305,0.1735,0.83359,0.00045285,0.00045285,0.00045285
71,10569,0.33085,0.29116,0.86718,0.98041,0.82883,0.91151,0.67515,0.61769,0.16684,0.83356,0.000438703,0.000438703,0.000438703
72,10709.8,0.31707,0.275,0.86771,0.96183,0.83108,0.9281,0.68024,0.62059,0.16808,0.83391,0.000424556,0.000424556,0.000424556
73,10850.6,0.32932,0.28932,0.86848,0.86419,0.9955,0.95206,0.66583,0.6215,0.17454,0.83331,0.000410409,0.000410409,0.000410409
74,10991.2,0.32949,0.27247,0.86402,0.8502,0.9955,0.91125,0.62181,0.63457,0.18267,0.83428,0.000396262,0.000396262,0.000396262
75,11132.8,0.31587,0.26063,0.86827,0.86069,0.98623,0.95227,0.64967,0.6268,0.17562,0.83351,0.000382115,0.000382115,0.000382115
76,11274.3,0.31524,0.25913,0.86719,0.8534,0.96554,0.95217,0.66742,0.61442,0.17899,0.8335,0.000367967,0.000367967,0.000367967
77,11415.9,0.30832,0.26777,0.86879,0.84938,0.96785,0.95219,0.65178,0.61434,0.18199,0.8321,0.00035382,0.00035382,0.00035382
78,11558.2,0.29531,0.2454,0.86724,0.82095,0.9955,0.95222,0.67826,0.60946,0.17269,0.83339,0.000339673,0.000339673,0.000339673
79,11700.9,0.31145,0.25258,0.86299,0.84725,0.9955,0.91114,0.64847,0.61023,0.17236,0.83168,0.000325526,0.000325526,0.000325526
80,11844.7,0.30478,0.24762,0.86457,0.86125,0.98214,0.95285,0.6449,0.61485,0.16947,0.83225,0.000311379,0.000311379,0.000311379
81,11988.6,0.30406,0.2431,0.86186,0.86222,0.9955,0.95291,0.67046,0.62195,0.17355,0.83173,0.000297232,0.000297232,0.000297232
82,12132.1,0.30337,0.24262,0.8693,0.86408,0.9972,0.95285,0.66492,0.61526,0.17124,0.83146,0.000283085,0.000283085,0.000283085
83,12275.9,0.29612,0.23981,0.8655,0.98974,0.82747,0.9526,0.70364,0.6131,0.17374,0.83098,0.000268938,0.000268938,0.000268938
84,12419.9,0.29527,0.25128,0.86338,0.9782,0.82929,0.95271,0.67662,0.62845,0.17667,0.83189,0.000254791,0.000254791,0.000254791
85,12564,0.29316,0.24171,0.8625,0.99549,0.97225,0.9937,0.69184,0.61718,0.17817,0.83262,0.000240644,0.000240644,0.000240644
86,12708,0.28694,0.2318,0.8623,0.97595,0.82883,0.95285,0.69147,0.61831,0.17506,0.83222,0.000226497,0.000226497,0.000226497
87,12852.1,0.30287,0.23423,0.86653,0.99419,0.95942,0.99416,0.69324,0.612,0.17192,0.83163,0.000212349,0.000212349,0.000212349
88,12996,0.30203,0.22699,0.86462,0.96958,0.82658,0.95255,0.66359,0.6196,0.18024,0.83151,0.000198202,0.000198202,0.000198202
89,13140.5,0.29474,0.22864,0.86488,0.98886,0.98187,0.994,0.66896,0.60699,0.17186,0.83173,0.000184055,0.000184055,0.000184055
90,13284.7,0.29283,0.22059,0.86169,0.9639,0.9973,0.99381,0.67565,0.61521,0.1736,0.8317,0.000169908,0.000169908,0.000169908
91,13441.2,0.31166,0.12743,0.84993,0.97158,0.83108,0.95262,0.6828,0.61368,0.16774,0.83192,0.000155761,0.000155761,0.000155761
92,13584,0.30346,0.10678,0.85488,0.84747,0.99775,0.95303,0.65997,0.61287,0.16903,0.83193,0.000141614,0.000141614,0.000141614
93,13727.6,0.29647,0.10405,0.84711,0.84884,0.99775,0.95298,0.67519,0.60851,0.16842,0.83151,0.000127467,0.000127467,0.000127467
94,13870.5,0.29744,0.10027,0.84643,0.85238,0.99775,0.95298,0.66878,0.60823,0.16653,0.83144,0.00011332,0.00011332,0.00011332
95,14013.6,0.29205,0.10403,0.84851,0.99299,0.99655,0.99423,0.67559,0.607,0.16741,0.83155,9.91726e-05,9.91726e-05,9.91726e-05
96,14156.7,0.29318,0.10144,0.85096,0.99189,0.99162,0.9943,0.6768,0.61277,0.1677,0.8319,8.50255e-05,8.50255e-05,8.50255e-05
97,14299.7,0.29137,0.09919,0.84559,0.97218,0.99775,0.99426,0.68022,0.60506,0.16596,0.83107,7.08784e-05,7.08784e-05,7.08784e-05
98,14442.9,0.2933,0.09677,0.84677,0.99551,0.95142,0.99421,0.70579,0.60338,0.16692,0.83058,5.67313e-05,5.67313e-05,5.67313e-05
99,14586.4,0.28276,0.09182,0.84479,0.9955,0.97619,0.99421,0.6891,0.60197,0.16639,0.83035,4.25842e-05,4.25842e-05,4.25842e-05
100,14729.4,0.2864,0.09585,0.8444,0.99328,0.93848,0.99421,0.67958,0.60899,0.16884,0.83086,2.84371e-05,2.84371e-05,2.84371e-05
