epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2427,2.14312,7.78678,3.46364,0,0,0,0,3.06617,4.23086,2.57915,0.000474696,0.000474696,0.000474696
2,189.508,1.53177,2.41997,1.73324,0.95773,0.45045,0.48235,0.29528,1.338,0.82559,1.02132,0.000941615,0.000941615,0.000941615
3,279.406,1.24894,1.51966,1.4338,0.95861,0.47748,0.49129,0.30062,1.35045,0.58838,0.97876,0.0013991,0.0013991,0.0013991
4,368.595,1.08664,1.23711,1.33507,0.97431,0.47523,0.53871,0.34527,1.20351,0.45229,0.92728,0.00138656,0.00138656,0.00138656
5,454.684,1.04063,1.08657,1.27395,0.98422,0.47748,0.53336,0.34555,1.22807,0.39726,0.92595,0.00137241,0.00137241,0.00137241
6,570.852,0.97776,1.02012,1.24215,0.98849,0.48874,0.49544,0.36253,1.05287,0.37461,0.90938,0.00135826,0.00135826,0.00135826
7,665.591,0.88809,0.94883,1.18728,0.97776,0.48198,0.55079,0.3883,1.02894,0.32986,0.8901,0.00134412,0.00134412,0.00134412
8,755.28,0.87258,0.92013,1.17323,0.98447,0.49199,0.53048,0.39072,0.97209,0.31364,0.88808,0.00132997,0.00132997,0.00132997
9,836.274,0.82643,0.88319,1.13893,0.97546,0.49099,0.62737,0.40509,1.04307,0.34459,0.89544,0.00131582,0.00131582,0.00131582
10,917.487,0.80081,0.86243,1.1243,0.91907,0.49324,0.64134,0.46382,0.94626,0.29536,0.89417,0.00130168,0.00130168,0.00130168
11,1000.14,0.7763,0.85208,1.10629,0.92422,0.4955,0.85381,0.52536,0.84538,0.29376,0.88132,0.00128753,0.00128753,0.00128753
12,1084,0.77093,0.8305,1.09974,0.39299,0.99775,0.86993,0.50009,0.98692,0.28965,0.88507,0.00127338,0.00127338,0.00127338
13,1167.55,0.73932,0.83971,1.0899,0.52264,0.61034,0.58752,0.4306,0.92555,0.27811,0.87333,0.00125923,0.00125923,0.00125923
14,1251.14,0.72531,0.82128,1.06736,0.58906,0.60516,0.73045,0.50556,0.92147,0.27462,0.88401,0.00124509,0.00124509,0.00124509
15,1334.33,0.71705,0.80072,1.06618,0.43057,0.9955,0.59238,0.42505,0.79108,0.23526,0.8671,0.00123094,0.00123094,0.00123094
16,1417.41,0.69469,0.79065,1.05437,0.44926,0.4955,0.66677,0.48336,0.7932,0.25329,0.86618,0.00121679,0.00121679,0.00121679
17,1500.73,0.67872,0.77527,1.04235,0.60804,0.66441,0.62225,0.4768,0.80793,0.24383,0.86919,0.00120265,0.00120265,0.00120265
18,1583.62,0.7032,0.78612,1.05312,0.78812,0.81656,0.91137,0.55596,0.76585,0.21904,0.86059,0.0011885,0.0011885,0.0011885
19,1666.71,0.64452,0.76696,1.03528,0.98455,0.80736,0.86389,0.61633,0.89487,0.26004,0.86432,0.00117435,0.00117435,0.00117435
